review_id,app_name,review_text_original,skip_category
cca2ae9b-4e67-4574-b22d-89e1267778c5,Mekari Flex,Luar biasa,TERLALU_PENDEK
861855c4-4be6-46dd-bc80-9ce7a9ef2dee,Mekari Flex,Transaksi mudah,TERLALU_PENDEK
37ced950-db06-4525-b404-49e751b6ec1f,Mekari Flex,Ok good...,TERLALU_PENDEK
6bc0a6a1-1bb9-41e6-894a-f20ee3e214ee,Mekari Flex,keren sekali,TERLALU_PENDEK
171be6a8-8a7d-4a14-8574-5bcf589e0870,Mekari Flex,Siip,TERLALU_PENDEK
6f48c95e-c660-4c3e-93bc-e014a25715ab,Mekari Flex,"Keren, Bgt",TERLALU_PENDEK
2ae16f2b-8d25-4ac7-83b9-2be4a1624007,Mekari Flex,Okokokok,TERLALU_PENDEK
91f100a2-add5-4916-8d94-3768b0c02c3e,Mekari Flex,Bagus aplikasi,TERLALU_PENDEK
7c7315c6-91ae-43a8-a38c-cabcf10bf0c3,Mekari Flex,Mantappp👍👍👍,TERLALU_PENDEK
88bce35e-a865-4390-9737-0e8bcb51a4a3,Mekari Flex,Sangat bermanffat,TERLALU_PENDEK
ea59313f-14ce-4cef-ab63-90e656c3cca7,Mekari Flex,Mantaaaaaaff,TERLALU_PENDEK
37921d10-fd6d-4111-b0a0-a073730ea867,Mekari Flex,Puas,TERLALU_PENDEK
a27ccd46-7e94-47f4-9dd2-e27f271023b4,Mekari Flex,Dip,TERLALU_PENDEK
2b30572f-3895-444a-9250-c411c71cbfe4,Mekari Flex,Lbih canggih,TERLALU_PENDEK
43842bdc-186b-4b3c-aa40-cf25586f3311,Mekari Flex,Calep,TERLALU_PENDEK
c05a7f54-0fb7-4375-af21-e77a4831e8fc,Mekari Flex,Sedap gilaaaaaaa,TERLALU_PENDEK
b692a915-f0eb-4bc3-b525-5d30096be47b,Mekari Flex,Mantaappp,TERLALU_PENDEK
a3960153-3ee3-4240-8b94-9b239c978dda,Mekari Flex,Mempermudah,TERLALU_PENDEK
4d41a887-85b4-4613-8b14-01ffce19e48d,Mekari Flex,good.,TERLALU_PENDEK
29625110-8d29-4211-88fe-a105b6ba3ca9,Mekari Flex,Aplikasi mqntqp,TERLALU_PENDEK
1b5c23e9-f61f-490c-aa70-c81203206419,Mekari Flex,Lumayanlah,TERLALU_PENDEK
0f8c6c94-2a85-47a6-acd3-d00c203bbb06,Mekari Flex,Bgus,TERLALU_PENDEK
f8a7b256-72e9-49e4-8f38-a91b870b4d2c,Mekari Flex,mantaf,TERLALU_PENDEK
bc4747be-985b-49fb-9293-e00c443212ea,Mekari Flex,Sukses,TERLALU_PENDEK
400bf6e4-f98a-48ef-bc02-9e176ffbdb94,Mekari Flex,Mantap pokoke,TERLALU_PENDEK
67d179c4-c8dd-4e06-be39-7d67ae9dfb8e,Mekari Flex,Good luck,TERLALU_PENDEK
5cc3e5bd-87e6-4fb2-a8d7-4a3702150458,Mekari Flex,Fast respon,TERLALU_PENDEK
70f2b3a2-7977-4d25-b789-8fbce7f0b04b,Mekari Flex,Semoga acc,TERLALU_PENDEK
552668c4-1b5b-4f56-87e0-718cc6d9f63a,Mekari Flex,Luar biasanya,TERLALU_PENDEK
d534463e-e448-462c-b533-4c3ab3a5355f,Mekari Flex,Sangat membantu...👍,TERLALU_PENDEK
221aeb87-9502-417d-ab61-95be0e63f2bd,Mekari Flex,"Kereennn.,.. !!!",TERLALU_PENDEK
105b933a-b7a9-48f8-a994-ac185b7316f0,Mekari Flex,Cangggih,TERLALU_PENDEK
6334fc68-46b4-49ab-975f-d54d8d186627,Mekari Flex,Sangat mempermudah,TERLALU_PENDEK
354c94f5-5b32-406f-b5f2-04916fc64dec,Mekari Flex,Goodjobz,TERLALU_PENDEK
395c0e29-4eee-453a-9a6b-6665907b3621,Mekari Flex,Menari mantappppppp👍,TERLALU_PENDEK
c2d752be-b9ba-43f5-9d04-a56610cc11a5,Mekari Flex,Sangat. Membantu,TERLALU_PENDEK
312dfb68-1571-48d1-b2b9-66cc99ef6a1d,Mekari Flex,Joosss...,TERLALU_PENDEK
1bd47ac4-7c3f-4961-b869-4b6af81b67ba,Mekari Flex,🤗🤗,TERLALU_PENDEK
09262206-9ab1-4607-99c2-239d9a7c65b7,Mekari Flex,Siiip,TERLALU_PENDEK
7ada466a-f0a5-49d8-bf6b-6378fd0faba6,Paywatch,sangat membantu,TERLALU_PENDEK
97374042-db12-4c9b-b779-938114555b5d,Paywatch,Top banget 🥰,TERLALU_PENDEK
d2fd228a-b1ec-4296-9a78-794fba6e0ffd,Paywatch,cepat tepat,TERLALU_PENDEK
2af36e8d-b5a3-42fe-b75c-999247b7af78,Paywatch,sangat mmbantu,TERLALU_PENDEK
d35ed078-18b1-42e9-9c51-797038688ed7,Paywatch,mantap,TERLALU_PENDEK
abf1fb19-044f-4700-ae10-eb8978f1656c,Paywatch,bermanfaat banget,TERLALU_PENDEK
02901403-231b-4924-8cd7-e659af70110c,Paywatch,bagus,TERLALU_PENDEK
1afb41fb-c92b-4cbb-9266-2cc0d3f2358c,Paywatch,tidak konsisten,TERLALU_PENDEK
30229e81-cfff-411d-baf7-f9d71bf589ab,Paywatch,pelayanannya cepat,TERLALU_PENDEK
dde4c78e-c465-46b0-9650-0bc3d554cc29,Paywatch,sangat bermanfaat,TERLALU_PENDEK
9baeac3a-fa5b-4e04-99c5-0971103ef8dc,Paywatch,bermanfaat,TERLALU_PENDEK
2c458b74-d958-439a-8d33-bba9377c99a3,Paywatch,sangat baik,TERLALU_PENDEK
d51efdf7-055c-45d2-a646-7a3966bb1c1a,Paywatch,sangat puas,TERLALU_PENDEK
8071df65-c731-4170-99f9-bea30e0211de,Paywatch,good 👍,TERLALU_PENDEK
0c14ac17-f6c0-4a06-9134-d4d4f87da422,Paywatch,ok,TERLALU_PENDEK
efe38c08-b400-4913-859e-2a478beb273e,Paywatch,eror,TERLALU_PENDEK
1b65dd9b-b80f-46da-bbc1-42167cd276f3,Paywatch,sangat membantu 🫰👍,TERLALU_PENDEK
3dac7e2d-9c73-471c-97ae-169151748fa9,Paywatch,bagus sekali,TERLALU_PENDEK
889fe4a9-cb9d-4fde-af2e-81e37dc0029f,Paywatch,memberikan solusi,TERLALU_PENDEK
81a64656-7b39-4250-b6ca-65ac332e46ce,Paywatch,aplikasi bagus,TERLALU_PENDEK
4b66c35f-c608-4431-87eb-1863a3c96089,Paywatch,apk mantab,TERLALU_PENDEK
d7257fad-705f-4f0d-855f-8ac0d7940850,Paywatch,good service,TERLALU_PENDEK
83cd77ae-2702-4983-ad1d-3b01c4eb59b6,Paywatch,sangat berguna,TERLALU_PENDEK
202eba78-b554-4bd0-81cf-64268abce030,Paywatch,baik,TERLALU_PENDEK
d73f2282-c234-4cd0-a829-be2b0a1391d0,Paywatch,keren,TERLALU_PENDEK
fbad56fe-40a3-43c4-9f51-d22a7aece670,Paywatch,good,TERLALU_PENDEK
f8ee83b3-924b-42dc-b202-4ae562c17565,Paywatch,sangat bagus,TERLALU_PENDEK
4a61daaa-41fa-4bc9-b7be-e19613a3de57,Paywatch,sangat mmbantu🥰🥰,TERLALU_PENDEK
ddb238af-5b1c-46f7-91bb-8024eb231258,Paywatch,nice,TERLALU_PENDEK
685acf69-1137-4409-acb4-3c88400baacc,Paywatch,cukup membantu,TERLALU_PENDEK
73c6acff-e375-4831-94ad-4908a8e39000,Paywatch,👍,TERLALU_PENDEK
ac17fc22-8529-4fee-b85a-93dbdea4f6c7,Paywatch,good app,TERLALU_PENDEK
53ebfee1-11cd-4d7e-af23-5b5cfee36abe,Paywatch,Sangat membantu..,TERLALU_PENDEK
73460d49-f46e-497b-bd4e-b9c37d0e138d,Paywatch,Mantapppppp,TERLALU_PENDEK
8c508ed3-d898-4b07-b578-34c83ecb680d,Paywatch,proses cepat,TERLALU_PENDEK
24a01712-59c5-4ce5-a6fd-9cde0d31f8c7,Paywatch,cukup bagus,TERLALU_PENDEK
4f62cca9-4fe4-4d1b-b76b-ca672f3a51e2,Wagely,sangat membantu,TERLALU_PENDEK
6bf366dd-4ca5-4d68-a9cb-9ab476b9df10,Wagely,aplikasi sampahhh,TERLALU_PENDEK
4f2aaa4a-ec48-44ec-a9e6-20203f2465fb,Wagely,merdeka,TERLALU_PENDEK
8b4fa1cd-e44c-476e-b654-add5737556e1,Wagely,apk merugikan,TERLALU_PENDEK
1bdf1cf3-2632-4e31-ae78-cc7e20e9c286,Wagely,aplikasi sampah,TERLALU_PENDEK
7dab68f1-086f-400c-9f4b-85776e9b24af,Wagely,ok,TERLALU_PENDEK
8f166a11-65ab-48a0-a710-543ee795e62c,Wagely,baik,TERLALU_PENDEK
343910e4-5fac-4b60-a4b9-328587ea0330,Wagely,👍,TERLALU_PENDEK
e0235623-d787-4331-b4bf-3cf59e752402,Wagely,mantap,TERLALU_PENDEK
c6656c92-638d-4e70-94c6-ee88592b6d75,Wagely,mulai memeras,TERLALU_PENDEK
212e81f9-c19b-44b5-8cf7-60e9628a9cdd,Wagely,terbantu sekali,TERLALU_PENDEK
5260317e-2d47-4c84-873c-85e46cf6880c,Wagely,GK jelas,TERLALU_PENDEK
